,,,,,GyroX,GyroY,GyroZ,GyroX_MAX,GyroX_MIN,GyroY_MAX,GyroY_MIN,GyroZ_MAX,GyroZ_MIN,GyroX_DIFF,GyroY_DIFF,GyroZ_DIFF
41200,-6.36,-4.79,-39.23,41200,-1.03,7.77,-0.5,,,,,,,,,
41210,-14.1,-1.23,-39.23,41210,-0.15,8.73,-0.42,,,,,,,,,
41220,-21.7,1.53,-39.23,41220,0.3,8.73,-0.34,,,,,,,,,
41230,-26.8,3.09,-27.95,41230,0.07,8.73,-0.19,,,,,,,,,
41240,-28.59,2.76,-12.14,41240,-0.59,8.73,0.02,,,,,,,,,
41250,-27.82,0.27,1.24,41250,-1.28,8.73,0.23,,,,,,,,,
41260,-25.4,-1.33,11.39,41260,-1.87,8.73,0.44,,,,,,,,,
41270,-23.85,-4.18,15.43,41270,-2.26,8.73,0.61,,,,,,,,,
41280,-21.98,-6.1,18.13,41280,-1.89,8.73,0.63,,,,,,,,,
41290,-20.99,-5.64,22.14,41290,-1.62,8.73,0.48,,,,,,,,,
41300,-18.94,-5.45,27.93,41300,-1.63,8.73,0.29,,,,,,,,,
41310,-16.9,-4.66,34.39,41310,-1.82,7.85,0.14,,,,,,,,,
41320,-14.94,-5.48,39.23,41320,-2.28,6.55,0.03,,,,,,,,,
41330,-11.93,-6.28,39.23,41330,-2.44,5.03,-0.09,,,,,,,,,
41340,-9.33,-8.46,39.23,41340,-2.22,3.27,-0.41,,,,,,,,,
41350,-7.86,-8.43,39.23,41350,-2.04,1.32,-0.78,,,,,,,,,
41360,-7.56,-5.9,39.23,41360,-1.85,-0.78,-1.12,,,,,,,,,
41370,-8.87,-2.36,39.23,41370,-1.45,-3.28,-1.32,,,,,,,,,
41380,-11.65,0.48,39.23,41380,-0.75,-5.74,-1.3,,,,,,,,,
41390,-17.89,0.61,39.23,41390,0.01,-8.3,-1.15,,,,,,,,,
41400,-28.02,-3.68,39.23,41400,0.8,-8.73,-0.99,,,,,,,,,
41410,-39.23,-10.78,39.23,41410,2.05,-8.73,-0.94,,,,,,,,,
41420,-39.23,-17.64,39.23,41420,3.67,-8.73,-0.93,,,,,,,,,
41430,-39.23,-23.76,26.04,41430,5.31,-8.73,-0.86,,,,,,,,,
41440,-39.23,-26.64,-10.48,41440,6.36,-8.73,-0.79,,,,,,,,,
41450,-39.23,-20.94,-39.23,41450,5.89,-8.73,-0.75,,,,,,,,,
41460,-39.23,0.39,-39.23,41460,2.59,-8.73,-0.67,,,,,,,,,
41470,-13.07,12.41,-39.23,41470,-1.03,-8.73,-0.22,,,,,,,,,
41480,9.43,17.44,-39.23,41480,-2.88,0.2,0.7,,,,,,,,,
41490,-3.32,0.17,-39.23,41490,-2.21,7.8,1.56,,,,,,,,,
41500,-17.73,-9.61,-32.94,41500,-1.77,8.73,1.69,,,,,,,,,
41510,-14.61,-17.86,22.98,41510,-1.69,8.73,1.4,,,,,,,,,
41520,-5.25,-26.15,39.23,41520,-0.89,6.31,0.7,,,,,,,,,
41530,2.39,-23.85,39.23,41530,-0.24,2.73,-0.42,,,,,,,,,
41540,2.58,-11.06,39.23,41540,0.17,-0.63,-1.18,,,,,,,,,
41550,2.95,-2.81,15.76,41550,0.78,-2.62,-1.3,,,,,,,,,
